model,level,run_id,task,n,f1_macro,accuracy,f1_weighted,precision_w,recall_w,kappa,kappa_interp,parse_rate
openai,L2,7,theme,113,0.82,0.8142,0.8173,0.8451,0.8142,0.7642,Substantial,1.0
openai,L2,8,code,113,0.589,0.6018,0.6537,0.7794,0.6018,0.5868,Moderate,1.0
openai,L2,8,theme,113,0.7789,0.7965,0.7977,0.8299,0.7965,0.7416,Substantial,1.0
openai,L2,9,code,113,0.6042,0.6195,0.6693,0.7765,0.6195,0.6048,Substantial,1.0
openai,L2,9,theme,113,0.7992,0.7876,0.7902,0.8254,0.7876,0.7301,Substantial,1.0
openai,L2,10,code,113,0.6109,0.5929,0.6512,0.7841,0.5929,0.5781,Moderate,1.0
openai,L2,10,theme,113,0.7764,0.7965,0.7962,0.8321,0.7965,0.7414,Substantial,1.0
openai,L3,1,code,113,0.5487,0.5221,0.5783,0.7602,0.5221,0.5071,Moderate,1.0
openai,L3,1,theme,113,0.7293,0.7345,0.7358,0.8106,0.7345,0.6603,Substantial,1.0
openai,L3,2,code,113,0.5654,0.5575,0.6151,0.7773,0.5575,0.5424,Moderate,1.0
openai,L3,2,theme,113,0.7585,0.7699,0.7698,0.8222,0.7699,0.7074,Substantial,1.0
openai,L3,3,code,113,0.5797,0.5487,0.5972,0.7592,0.5487,0.5337,Moderate,1.0
openai,L3,3,theme,113,0.5934,0.7345,0.7322,0.8039,0.7345,0.6613,Substantial,1.0
openai,L3,4,code,113,0.5597,0.5575,0.6002,0.7637,0.5575,0.5417,Moderate,1.0
openai,L3,4,theme,113,0.7401,0.7522,0.7524,0.8049,0.7522,0.684,Substantial,1.0
openai,L3,5,code,113,0.5967,0.5752,0.628,0.7901,0.5752,0.5608,Moderate,1.0
openai,L3,5,theme,113,0.6238,0.7699,0.7671,0.8269,0.7699,0.707,Substantial,1.0
openai,L3,6,code,113,0.582,0.5752,0.6283,0.7797,0.5752,0.5603,Moderate,1.0
openai,L3,6,theme,113,0.7621,0.7788,0.78,0.8261,0.7788,0.7184,Substantial,1.0
openai,L3,7,code,113,0.5599,0.5398,0.5925,0.7533,0.5398,0.5244,Moderate,1.0
openai,L3,7,theme,113,0.7579,0.7699,0.7689,0.8191,0.7699,0.7074,Substantial,1.0
openai,L3,8,code,113,0.6034,0.5841,0.6351,0.7882,0.5841,0.5696,Moderate,1.0
openai,L3,8,theme,113,0.7503,0.7611,0.7616,0.8216,0.7611,0.6948,Substantial,1.0
openai,L3,9,code,113,0.5679,0.5487,0.5994,0.7645,0.5487,0.5333,Moderate,1.0
